spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_u'_fitflux	sdss_u'_fitfluxerr	sdss_u'_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_-13.31.txt	55095.19	1.0651664368596772e-15	2.850321447031161e-17	True	7.069559286344799e-16	9.401703146042856e-18	True	2.6878878272285813e-16	4.15311023796041e-18	True	5.097711850259175e-16	7.649855331405129e-18	True	6.585769684853429e-16	5.589560771099906e-17	True	4.481975626739339e-16	5.1745857954069e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/SN2009iz_y2009m09d22.txt	55096.0	1.1685898464692489e-15	2.702263932047493e-17	True	7.727133748845407e-16	1.0350780809700054e-17	True	2.9358601494841085e-16	4.277588144652823e-18	True	5.573241118074136e-16	7.717384411718324e-18	True	7.393449772545566e-16	5.911631763046181e-17	True	4.481975627513933e-16	5.1745855915975915e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_-9.37.txt	55099.13	1.5643825664265377e-15	2.1061936825978827e-17	True	1.031809303317887e-15	1.0361679206145203e-17	True	3.9078228789950065e-16	4.109664246081076e-18	True	7.406595265658395e-16	6.967747126116158e-18	True	1.0200366725479867e-15	5.729876214838763e-17	True	4.481975624607635e-16	5.174585314985239e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_5.42.txt	55113.92	1.5603534436755207e-15	3.5963356288350716e-17	True	1.341977335293314e-15	1.9525965355597624e-17	True	6.643192969591275e-16	7.818973354780659e-18	True	1.1042539844694871e-15	1.3409591122793966e-17	True	1.0474984774070756e-15	9.924229241270959e-17	True	4.481975484108678e-16	5.174594988025169e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_11.34.txt	55119.84	9.803914397848939e-16	2.262802076564791e-17	True	1.107461430151277e-15	1.2677208797512532e-17	True	6.356829547344108e-16	6.077945215574958e-18	True	9.681893457020312e-16	9.775599792291707e-18	True	2.6231513603736237e-16	8.617253071870576e-17	True	4.481975369245963e-16	5.174603938007197e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_12.32.txt	55120.82	9.01495677921833e-16	2.2528561944932013e-17	True	1.0587433000914993e-15	1.2399991515969514e-17	True	6.242280293387089e-16	5.956811767007379e-18	True	9.38409302879408e-16	9.593444299181595e-18	True	1.545279886275008e-16	1.18633337711122e-16	True	4.481975346998827e-16	5.1746056996093555e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_13.31.txt	55121.81	8.29204460827872e-16	2.1632073802593313e-17	True	1.0106220130688145e-15	1.1763244095425005e-17	True	6.113570824389073e-16	5.760030392041206e-18	True	9.080471447549955e-16	9.196888695529304e-18	True	6.172118547270488e-17	1.6136948708420874e-16	False	4.481975323592376e-16	5.1746075599434023e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_21.2.txt	55129.7	5.103298729829304e-16	1.973656447935427e-17	True	7.136349598730337e-16	1.1191088587736202e-17	True	4.866017906354062e-16	5.041463427935324e-18	True	6.833793131521478e-16	7.738026542792761e-18	True	-2.9050009941060388e-16	4.946775356814106e-16	False	4.481975103560831e-16	5.1746252870687785e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_41.9.txt	55150.4	2.5650469207569324e-16	1.482526526785398e-17	True	4.1867902308582286e-16	1.0329478701617573e-17	True	2.9108109360726443e-16	4.550567493445638e-18	True	3.8238606814409305e-16	6.746978594900952e-18	True	-1.8788556294770496e-16	8.061944627412264e-16	False	4.481974243495052e-16	5.17469629089345e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009iz/2009iz_47.82.txt	55156.32	2.2968258398289506e-16	1.8494603380899578e-17	True	4.0019652412476796e-16	1.452553553598345e-17	True	2.591901066892945e-16	5.912737942494219e-18	True	3.4606170452228416e-16	9.9087339336493e-18	True	-1.362562633222999e-16	8.237660273344701e-16	False	4.481973922245601e-16	5.1747231176940506e-17	False
