spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	sdss_u_fitflux	sdss_u_fitfluxerr	sdss_u_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-12_00-00-00_Keck1_LRIS_LOSS.flm	53351.0	3.277168408802491e-15	1.8778389362354104e-16	True	2.1302330670947615e-15	3.163985834835225e-17	True	3.164999297534969e-15	1.1075227387408153e-16	True	1.0830578699277327e-15	2.274703144077024e-17	True	1.626258047898954e-15	2.393108171494035e-17	True	3.2674230032904414e-15	2.3256524601465416e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-13_00-00-00_LCO-duPont_WFCCD_LOSS.flm	53352.0	3.6669824561702316e-15	8.225227944317159e-17	True	2.492744592404376e-15	2.997212207266312e-17	True	3.4500325605126997e-15	6.223992103496668e-17	True	1.2824097937310016e-15	1.835770517132846e-17	True	1.9034040484091533e-15	2.278080715049029e-17	True	3.591820633286462e-15	1.4912003189212944e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-13_08-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm	53352.36	3.809548104691635e-15	5.941707039794463e-17	True	2.6168626742726533e-15	2.966255225820582e-17	True	3.557504610040124e-15	5.1616131375532016e-17	True	1.3499959353951272e-15	1.7379644526497493e-17	True	1.999450224776951e-15	2.2571895062554457e-17	True	3.70406913856805e-15	1.2986071022755637e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-14_07-40-48_FLWO-1.5m_FAST_CfA-Stripped.flm	53353.32	4.178624527532831e-15	6.989164729045038e-17	True	2.9242023150071306e-15	3.0603001418223654e-17	True	3.8504120430834425e-15	4.8240157838736353e-17	True	1.5150760064028508e-15	2.0081788913967302e-17	True	2.241078764422331e-15	2.322007056492788e-17	True	3.973950991629626e-15	1.2563249926213733e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-15_07-26-24_FLWO-1.5m_FAST_CfA-Stripped.flm	53354.31	4.509011888534888e-15	1.0981763643705511e-16	True	3.2006923262701346e-15	3.321148019497217e-17	True	4.139950093909037e-15	5.888356186114846e-17	True	1.6645212358276435e-15	2.7085860825621872e-17	True	2.4647409287277963e-15	2.508096280780124e-17	True	4.178749494276181e-15	1.492250519933856e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-16_08-09-36_FLWO-1.5m_FAST_CfA-Stripped.flm	53355.34	4.786808665177213e-15	1.0483815852462525e-16	True	3.440869625592707e-15	3.545995653943201e-17	True	4.405797697730921e-15	6.084751210732216e-17	True	1.799959078032384e-15	3.138317232409286e-17	True	2.667507098113745e-15	2.6892246837587544e-17	True	4.302097632504023e-15	1.498201975038664e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-17_00-00-00_Lick-3m_KAST_LOSS.flm	53356.0	4.9209606767702844e-15	8.018927227561389e-17	True	3.567575606490454e-15	3.658909009069525e-17	True	4.547264886988551e-15	5.803379169537006e-17	True	1.8770187736260734e-15	3.1758944321580123e-17	True	2.780370483568918e-15	2.7935550592024533e-17	True	4.324240145576675e-15	1.3887345077655314e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-19_07-55-12_FLWO-1.5m_FAST_CfA-Stripped.flm	53358.33	5.0227516387458124e-15	1.3282952508807557e-16	True	3.835332115114233e-15	4.3995907596076063e-17	True	4.78962404977581e-15	7.06717712835695e-17	True	2.0969264838655413e-15	3.3855021103126826e-17	True	3.0652662706030925e-15	3.41446977999018e-17	True	3.98645834221621e-15	1.6570453381974636e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-20_07-55-12_FLWO-1.5m_FAST_CfA-Stripped.flm	53359.33	4.90911152829139e-15	1.4701777600209585e-16	True	3.868242173152378e-15	4.7593619503689347e-17	True	4.765341723155574e-15	7.553556410857785e-17	True	2.16784927988189e-15	3.562774608001377e-17	True	3.1340524672793454e-15	3.7238252666649094e-17	True	3.699431904309278e-15	1.6858930967030445e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2004-12-21_05-31-12_FLWO-1.5m_FAST_CfA-Stripped.flm	53360.23	4.747893789034268e-15	1.1568686390231968e-16	True	3.859935959000743e-15	5.0388942723445157e-17	True	4.6851657991100485e-15	7.456459037428701e-17	True	2.2191999521353406e-15	3.572418281903269e-17	True	3.1701973218122263e-15	3.9775138546280076e-17	True	3.4053202201142604e-15	1.477176318061934e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gq/SN2004gq_2005-01-06_05-31-12_FLWO-1.5m_FAST_CfA-Stripped.flm	53376.23	1.014520904624547e-15	1.9214772502938765e-17	True	1.5656802911827827e-15	1.8991755462351093e-17	True	1.3348106043117397e-15	2.0708503069193502e-17	True	1.5713230862556872e-15	1.9912268216529705e-17	True	1.7683747518098616e-15	1.939485769763442e-17	True	2.932316448481223e-16	1.4211610276542546e-17	True
