spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_z'_fitflux	sdss_z'_fitfluxerr	sdss_z'_inrange
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-17_00-00-00_SALT_HRS-SALT_iPTF.ascii	56460.0	6.322707372163932e-16	8.472505925502375e-17	True	1.555175462158217e-16	2.2745254073784015e-17	True	3.830334549768762e-16	5.973496029277467e-17	True	4.239283113870075e-16	1.2399014894445243e-16	True	5.350729384983302e-16	6.056598229368847e-17	True	4.685396603643945e-16	3.8040374334075115e-17	True	1.7537439196821489e-16	4.438973337200382e-17	True	4.111743263994384e-16	7.685948599340249e-17	True	1.5545352595640643e-16	2.954015900573555e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-17_21-57-08_TNG_DOLORES_iPTF.ascii	56460.91	1.1030998480361524e-15	4.545874477498149e-17	True	2.7971924015236314e-16	1.5999152588627533e-17	True	6.446784453552384e-16	4.988094116072026e-17	True	8.013921466872042e-16	1.0646248461670409e-16	True	8.880918401098725e-16	4.841476449649818e-17	True	9.0938349793894e-16	1.2967735748668421e-17	True	3.2809898493851325e-16	3.453815595383869e-17	True	6.950532048372993e-16	5.572314182230737e-17	True	2.587938752930662e-16	2.0968991940301728e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-18_00-00-00_HET_HET-LRS_iPTF.ascii	56461.0	1.1475514454302848e-15	4.811774993234083e-17	True	2.9208443211360754e-16	1.541998161103079e-17	True	6.706374097892313e-16	4.905335443225471e-17	True	8.32969016580004e-16	1.0493390777469372e-16	True	9.231750545782352e-16	4.7759018947972924e-17	True	9.534115243481628e-16	1.1351075571230254e-17	True	3.4375221393316064e-16	3.3563143787176473e-17	True	7.23335498591431e-16	5.3789125247588104e-17	True	2.6901607769623447e-16	2.016356270580069e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-19_08-04-39_FTN_FLOYDS-N_iPTF.ascii	56462.34	1.792635828395955e-15	1.0910061393413744e-16	True	4.776945227314719e-16	9.426615557493423e-18	True	1.0573883667503413e-15	3.85637764084309e-17	True	1.2889035346868057e-15	9.130242548315441e-17	True	1.4514263791579632e-15	4.3399353685878766e-17	True	1.6184218479890565e-15	2.4185243983765905e-17	True	5.864940620601748e-16	1.810317127521788e-17	True	1.148800743104868e-15	2.965133483634894e-17	True	4.164778424905715e-16	1.2548248339117944e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-20_00-00-00_Other_Other_iPTF.ascii	56463.0	2.136808079127002e-15	1.1738598767285713e-16	True	5.699350943909451e-16	8.548170900996293e-18	True	1.2470931729497952e-15	3.397367877335734e-17	True	1.5903116959308593e-15	1.579926251379811e-16	True	1.7180747043567937e-15	4.1196750290509475e-17	True	1.9531108285932407e-15	3.0393635830694055e-17	True	7.082742752592559e-16	1.2875231071647918e-17	True	1.3609610136811578e-15	2.2566133345727943e-17	True	4.845837104720841e-16	1.386714127536064e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-22_00-00-00_FTN_FLOYDS-N_iPTF.ascii	56465.0	3.4395709955230473e-15	4.99937619705858e-17	True	8.483348887435153e-16	8.862269917085607e-18	True	1.8111360586744975e-15	2.1139481538155535e-17	True	2.934048356283102e-15	1.2788850690671876e-16	True	2.559274156466897e-15	2.7381361233090935e-17	True	2.9944002976300775e-15	3.2575293393397185e-17	True	1.054684411168447e-15	1.425433441177984e-17	True	2.0004972073928567e-15	2.2519779174562946e-17	True	6.851381187718514e-16	1.7563485068150763e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-24_00-00-00_FTN_FLOYDS-N_iPTF.ascii	56467.0	5.036662598733874e-15	5.1415390532781566e-17	True	1.1115262944064058e-15	9.418645834486543e-18	True	2.3409683826460696e-15	1.5874327321558005e-17	True	4.760379504675989e-15	2.530876784931664e-16	True	3.429361561193093e-15	2.166065517837958e-17	True	4.048424657285134e-15	4.599458718305836e-17	True	1.3764824910823382e-15	2.3800728764523248e-17	True	2.596488142675782e-15	2.7631338604754475e-17	True	8.873567629275879e-16	1.932233553183853e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-25_00-00-00_HCT-2m_HFOSC_None.dat	56468.0	5.656203098447346e-15	7.13657555560402e-17	True	1.232360994852187e-15	9.53145756283322e-18	True	2.5823877836590857e-15	1.6280474682492524e-17	True	5.534140850023045e-15	2.4797783380350674e-16	True	3.841136119207512e-15	2.322574917844186e-17	True	4.547289683789635e-15	5.196729266809836e-17	True	1.5321002017156752e-15	2.037007539917254e-17	True	2.8733074441910143e-15	2.7078805726377843e-17	True	9.790041498745044e-16	1.8432105195082345e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-26_00-00-00_HET_HET-LRS_iPTF.ascii	56469.0	6.145566689271164e-15	9.795794763301125e-17	True	1.3474500397194809e-15	1.0098599865937216e-17	True	2.811764734385788e-15	1.8277837311525648e-17	True	6.019209431280842e-15	3.802887790804611e-16	True	4.222245978541761e-15	2.6683178976878603e-17	True	5.006149089987943e-15	5.4872426557190565e-17	True	1.6835662793390783e-15	1.314632345786044e-17	True	3.134930369119713e-15	2.4400709680905355e-17	True	1.0690825802859713e-15	1.694943461736259e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-27_03-51-05_APO-3.5m_DIS_iPTF.ascii	56470.16	6.606783322819257e-15	1.132614347996632e-16	True	1.476890640589714e-15	1.2295517714428602e-17	True	3.070108379740117e-15	2.323262026867143e-17	True	6.2504499222304755e-15	6.153948930512917e-16	True	4.616236430318707e-15	2.936626115169733e-17	True	5.4696480188843215e-15	5.4983117436494776e-17	True	1.846745163353427e-15	1.276781414527332e-17	True	3.4163999549473546e-15	1.9621434024252433e-17	True	1.1808317166229007e-15	2.0194413708574244e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-28_00-00-00_HCT-2m_HFOSC_None.dat	56471.0	6.862569802872048e-15	9.089726979713825e-17	True	1.5673898547005283e-15	1.3912295449725107e-17	True	3.2490570883117664e-15	2.6464511252214367e-17	True	6.250314066904298e-15	7.700661104503557e-16	True	4.863068752509553e-15	2.8600192161608095e-17	True	5.7495456868909435e-15	5.3781279813505713e-17	True	1.9479270281547556e-15	1.0246752824582154e-17	True	3.60329316449255e-15	1.5716715025386234e-17	True	1.2608117856976537e-15	2.3614226875828443e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-01_00-00-00_HET_HET-LRS_iPTF.ascii	56474.0	7.161100254813311e-15	7.901127872661411e-17	True	1.853999305548248e-15	1.2698922034319527e-17	True	3.772627414602338e-15	2.2155375877866716e-17	True	5.542808630026968e-15	1.0273727560745093e-15	True	5.433640498872358e-15	3.162656601229717e-17	True	6.292688090137876e-15	4.645751635151126e-17	True	2.2206264943663757e-15	1.8706520793041764e-17	True	4.137519712628746e-15	1.8285089785680405e-17	True	1.4897881576648199e-15	2.6891821517501386e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-01_00-00-00_HCT-2m_HFOSC_None.dat	56474.1	7.154267036567425e-15	7.711383638295644e-17	True	1.862261777392091e-15	1.2504693216543243e-17	True	3.785702093559789e-15	2.1681394907513673e-17	True	5.5070080437731705e-15	1.0266128129199838e-15	True	5.443716423541362e-15	3.158243626172682e-17	True	6.2972122422065165e-15	4.5864602750512855e-17	True	2.2294659509596085e-15	1.8544234436557368e-17	True	4.1511867584151336e-15	1.8428561576444575e-17	True	1.4962764502160431e-15	2.6452677981045166e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-04_00-00-00_HCT-2m_HFOSC_None.dat	56477.0	6.4728824035904964e-15	1.1189433405711594e-16	True	2.0463355274417387e-15	1.1563361184619267e-17	True	3.992410406800162e-15	2.1826763422241568e-17	True	4.310518131513542e-15	7.292300342926924e-16	True	5.458297685779233e-15	3.741076156531187e-17	True	5.988370300087645e-15	2.4296944142683647e-17	True	2.470367865501791e-15	1.2004588829277556e-17	True	4.386154804903577e-15	1.7759188496760688e-17	True	1.6603945503470384e-15	2.365582310002473e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-05_00-00-00_P200_DBSP_iPTF_0.ascii	56478.0	6.027228643826654e-15	1.4792121211306814e-16	True	2.0740585272892376e-15	1.1990669246065458e-17	True	3.981269610014503e-15	2.4158945942313484e-17	True	3.858567361841101e-15	5.091395136422206e-16	True	5.340742193030432e-15	4.13678325346329e-17	True	5.705963594218798e-15	2.0951550914929625e-17	True	2.513148500843288e-15	1.4237104318814875e-17	True	4.376787279075198e-15	1.719010965034034e-17	True	1.6911190667867016e-15	2.539282821754178e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-09_08-06-31_FTN_FLOYDS-N_iPTF_3.ascii	56482.34	3.5279943839306513e-15	4.7447951312325963e-17	True	1.9168982892996595e-15	1.4665246275007182e-17	True	3.4290647170850983e-15	2.160509521479204e-17	True	1.8728406210150886e-15	4.886239435476784e-16	True	4.1651363912513e-15	2.507386405895867e-17	True	4.0893276488863305e-15	3.296725577411765e-17	True	2.2542416373486805e-15	1.494008984205086e-17	True	3.731431370237113e-15	2.1736898530426493e-17	True	1.5800135106354777e-15	3.3476152829774045e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-11_00-00-00_Keck2_DEIMOS_iPTF.ascii	56484.0	2.6578706805715086e-15	6.724151518248454e-17	True	1.7593578665442353e-15	1.5893955659642498e-17	True	3.053717757470425e-15	2.201498661535522e-17	True	1.2170870493695029e-15	4.189197162581671e-16	True	3.5412573713048457e-15	2.7413055616160918e-17	True	3.3897467171926492e-15	4.602716336105789e-17	True	2.0176614304961476e-15	2.6833339068332162e-17	True	3.3013286978469037e-15	3.0328137543382414e-17	True	1.4671230949809347e-15	3.385618829094983e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-21_22-18-05_NOT_ALFOSC_iPTF.ascii	56494.93	9.070357499090698e-16	4.39561628614497e-17	True	9.129088813653024e-16	2.9080457309994204e-17	True	1.3840990385982564e-15	5.4158059193250804e-17	True	4.4255816752295937e-16	3.2276984646332396e-16	True	1.2987130445238994e-15	8.944392500430986e-17	True	1.0915620278756177e-15	8.321952529602125e-17	True	1.0166141295101501e-15	9.218445044069609e-17	True	1.3239252647642068e-15	5.338288858001513e-17	True	9.722739322185624e-16	7.661208109453337e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-23_00-00-00_HCT-2m_HFOSC_None.dat	56496.0	8.635648660131499e-16	1.197711732248369e-16	True	8.725673658304904e-16	2.543257338856782e-17	True	1.3159300842712391e-15	4.6795210770873493e-17	True	4.507227240647722e-16	6.084198304529716e-16	True	1.2457638515480567e-15	7.629748356129169e-17	True	1.058672894454427e-15	7.127038773546503e-17	True	9.630823482378686e-16	7.863897485785459e-17	True	1.2584703109508894e-15	4.6995792392318926e-17	True	9.407219060569092e-16	6.79286886199767e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-08-02_10-19-56_FTS_FLOYDS-S_iPTF.ascii	56506.43	6.823349516031996e-16	1.0992429832341371e-16	True	6.820881733483731e-16	2.5083132997588738e-17	True	9.352214389209026e-16	5.300946296899099e-17	True	3.039218436531109e-16	9.370628488237788e-16	True	1.0003105240537509e-15	2.6004746959407965e-17	True	8.147629178343255e-16	9.10471264961198e-18	True	7.17623780530414e-16	8.336062187160291e-18	True	9.50578232524301e-16	6.882967404296515e-18	True	7.62626185442755e-16	4.6004610176564824e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-08-04_00-00-00_P200_DBSP_iPTF.flm	56508.0	6.566166325724899e-16	1.7033550604597568e-17	True	6.674228511650413e-16	2.1360686049931932e-17	True	8.99849590759983e-16	4.2873011963036514e-17	True	2.8489109884828993e-16	5.812681159737015e-16	True	9.763774978370824e-16	1.3215757140573515e-17	True	7.936025258210926e-16	9.870036277683934e-18	True	6.802247851462078e-16	1.1239700338123848e-17	True	9.122632087440056e-16	7.23424359673298e-18	True	7.437377133489555e-16	3.0367865793235087e-17	True
/Volumes/TOSHIBAEXT/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-08-06_00-00-00_HCT-2m_HFOSC_None.dat	56510.0	6.501456788015045e-16	2.0771338128140615e-17	True	6.477426751727819e-16	1.6099702001123214e-17	True	8.591711255558022e-16	2.5198475844655175e-17	True	2.6454140151472496e-16	1.2858495649048494e-16	True	9.300542306543597e-16	2.667644047249807e-17	True	7.899898837775464e-16	1.2913338687290727e-17	True	6.418110708622253e-16	7.342972425288183e-18	True	8.553374031526042e-16	5.7692066665549354e-18	True	7.2034165331118e-16	2.1240411755039162e-17	True
