spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-12.54.txt	53670.26	5.532812985021461e-16	1.7709472772263766e-17	True	3.9928510341593473e-16	2.0959103127721182e-17	True	3.0369486711276265e-16	9.2029679546473e-18	True	1.227951222910291e-16	4.252435358508688e-18	True	2.3141014577518415e-16	5.759724249459798e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-11.56.txt	53671.24	6.461648175924882e-16	1.622347983207541e-17	True	4.70303286855084e-16	2.101874052479265e-17	True	3.628241825977735e-16	8.330154817146957e-18	True	1.4988127407534901e-16	3.9591130583827364e-18	True	2.7595473907107996e-16	5.225587525586935e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-9.6.txt	53673.2	8.260742611564281e-16	1.6086860507824004e-17	True	6.097847003709412e-16	2.116340761996397e-17	True	4.863067615603696e-16	8.14822388343178e-18	True	2.073857046923188e-16	4.702150766086647e-18	True	3.6936014023294907e-16	5.707000745956005e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-8.62.txt	53674.18	9.087418106855153e-16	1.5989016006377443e-17	True	6.739493253301526e-16	2.085815665706483e-17	True	5.47242314707463e-16	7.897037685026342e-18	True	2.36164612622217e-16	4.5230904885181644e-18	True	4.1611673352795695e-16	5.791631476384434e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-7.64.txt	53675.16	9.837807235854474e-16	1.5695285281608456e-17	True	7.315449306936772e-16	2.0278575899998416e-17	True	6.053863349051728e-16	7.576755861293308e-18	True	2.638726616918e-16	4.114657561504235e-18	True	4.614530676661681e-16	5.6502254446674095e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-6.66.txt	53676.14	1.0501719549370423e-15	1.5093965564558584e-17	True	7.808078582234541e-16	1.936619853716803e-17	True	6.597567271465794e-16	7.153479475484984e-18	True	2.8965711535892425e-16	3.569288607226212e-18	True	5.04069762705992e-16	5.326409425411354e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-5.68.txt	53677.12	1.107361339330706e-15	1.423231591312978e-17	True	8.201425268416646e-16	1.815202269924407e-17	True	7.096734256618752e-16	6.742628458739766e-18	True	3.128055277688281e-16	3.2146149557413874e-18	True	5.427653875653631e-16	4.988225094424607e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-4.7.txt	53678.1	1.154762618643601e-15	1.3346690417459289e-17	True	8.480301920697476e-16	1.6892975455275204e-17	True	7.543187877506718e-16	6.593579484754945e-18	True	3.336431701513934e-16	3.154500147968704e-18	True	5.776005953531491e-16	4.797535344235363e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-3.72.txt	53679.08	1.1927206518389025e-15	1.2802236621286438e-17	True	8.6369176886709e-16	1.5950613994255957e-17	True	7.926187177734737e-16	6.831900794459607e-18	True	3.5253666500737123e-16	3.2247170719277615e-18	True	6.086373577823169e-16	4.773681265846391e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-2.74.txt	53680.06	1.2210771624278216e-15	1.2570902832308397e-17	True	8.675358313503739e-16	1.55365041223103e-17	True	8.239671847582324e-16	7.417880298910036e-18	True	3.698070189691784e-16	3.2650334314360876e-18	True	6.355650080762466e-16	4.8490604356822105e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-1.76.txt	53681.04	1.2379204581658991e-15	1.2379888712388743e-17	True	8.596697722820713e-16	1.5532219850615648e-17	True	8.48059141499808e-16	8.15342469144539e-18	True	3.8555898250323313e-16	3.1814107137698204e-18	True	6.58316851354131e-16	4.976757850898538e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_-0.78.txt	53682.02	1.240835892090352e-15	1.2133600008716229e-17	True	8.401193235370037e-16	1.5980005893594845e-17	True	8.646239494153622e-16	8.768219356843904e-18	True	3.998577585557152e-16	3.1795422863787718e-18	True	6.769019628322728e-16	5.1980161859056406e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_0.2.txt	53683.0	1.2276289709304366e-15	1.2335569427729894e-17	True	8.101787305334481e-16	1.7043583173356844e-17	True	8.732286050408823e-16	9.113769767469803e-18	True	4.1252933035273017e-16	3.509953426067364e-18	True	6.911835157807457e-16	5.502412996085645e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_12.93.txt	53695.73	5.072297296812207e-16	2.6480071563043606e-17	True	3.0483864755999306e-16	1.1943557335272958e-17	True	5.402710354084447e-16	9.088243361957005e-18	True	3.69644172228321e-16	4.111543729319361e-18	True	5.177130386102992e-16	5.6206355579983645e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005hg/2005hg_16.85.txt	53699.65	3.5858816323226705e-16	2.964503846419934e-17	True	2.198521497800143e-16	7.074094760834622e-18	True	4.446886498761568e-16	1.5305141761820227e-17	True	3.20250592298761e-16	9.800365146585063e-18	True	4.335908395892336e-16	1.024879519317392e-17	True
