spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_-4.84.txt	55971.06	2.304670881517902e-15	6.271354763197992e-17	True	7.217981966934405e-16	1.7097086808540836e-17	True	1.5586960396418792e-15	2.5629844546270633e-17	True	2.2740618773832172e-15	3.934834160696961e-17	True	2.7184276662155403e-15	1.4072742557330283e-16	True	1.3906782287470998e-15	1.2365225082588736e-16	True	9.55234109588571e-16	1.755294134201872e-16	True	2.2990659361563554e-15	1.1833993869774536e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_-2.87.txt	55973.03	2.610995035522684e-15	6.288724198899378e-17	True	8.167321858449102e-16	1.7419242091727047e-17	True	1.799074191845949e-15	2.0936644318769238e-17	True	2.6319922818772314e-15	5.1525613471005995e-17	True	2.865139453022945e-15	1.3652173111212102e-16	True	1.4900085402540797e-15	1.181456669547139e-16	True	8.93891509086136e-16	1.3827257512326697e-16	True	2.531956864847167e-15	1.1806045729438573e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_-0.89.txt	55975.01	2.6890013594877444e-15	7.03836251240989e-17	True	9.17462384700318e-16	2.05246833304468e-17	True	2.0007073185475215e-15	2.7932643179611605e-17	True	2.858696217346075e-15	5.359138549020092e-17	True	2.8062475826058326e-15	1.3486372845520163e-16	True	1.40536296796264e-15	1.154991351620196e-16	True	8.187169576625269e-16	1.5097244177595451e-16	True	2.6843801975533073e-15	1.2259840886981015e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_1.09.txt	55976.99	2.5124076592614863e-15	5.840486088208243e-17	True	1.0255846710489562e-15	2.1712992884319838e-17	True	2.1819488517254763e-15	2.820069583270037e-17	True	2.90592013021926e-15	5.791715995818403e-17	True	2.583089558363033e-15	1.3938912347569195e-16	True	1.1947628656256264e-15	1.2278414645115984e-16	True	7.448364525814586e-16	2.0760045350906288e-16	True	2.714393419139144e-15	1.3162485482304908e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_2.07.txt	55977.97	2.361066927078334e-15	4.8796577979321555e-17	True	1.0813522528795173e-15	2.196582602041612e-17	True	2.2505135141217317e-15	3.3291845877973044e-17	True	2.8617410107658637e-15	6.179394424095308e-17	True	2.4377448780993556e-15	1.4285050332296625e-16	True	1.0751016914700716e-15	1.2695688937079487e-16	True	7.102874990310087e-16	2.4334913501776333e-16	False	2.6825201557643384e-15	1.3551799050010576e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/SN2012ap_y2012m02d21.txt	55978.0	2.3560527759236587e-15	4.852331293872582e-17	True	1.083036673232615e-15	2.1957262221558108e-17	True	2.2522263556310278e-15	3.3485141061193134e-17	True	2.859737416745686e-15	6.18654397370054e-17	True	2.4330566589429484e-15	1.4291196177265477e-16	True	1.0714331962862331e-15	1.270066893213921e-16	True	7.092507967505786e-16	2.444771754549747e-16	False	2.6811623752570096e-15	1.3559378529228611e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_4.05.txt	55979.95	2.014947069160816e-15	3.816750813285583e-17	True	1.1817508422803245e-15	1.9132827386477528e-17	True	2.289500330962243e-15	3.7592342331617555e-17	True	2.6620320428217582e-15	5.596939906890716e-17	True	2.112046517128971e-15	1.4343436829572976e-16	True	8.420444402258219e-16	1.2600078217429507e-16	True	6.444839776048735e-16	3.1903603004647454e-16	False	2.5693467088139204e-15	1.3795483748597217e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/SN2012ap_y2012m02d23.txt	55980.0	2.0064780460047727e-15	3.771840648888138e-17	True	1.1839233393646265e-15	1.906163767270315e-17	True	2.2881050146588012e-15	3.7467871360128597e-17	True	2.6555802229697667e-15	5.55791853508248e-17	True	2.1036304633948256e-15	1.4357538416221076e-16	True	8.365593996932104e-16	1.2626442185133577e-16	True	6.428902106705389e-16	3.209437427277617e-16	False	2.566280511818639e-15	1.3812010477606238e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_7.02.txt	55982.92	1.6150529000835705e-15	5.5492673899407786e-17	True	1.2663011116552592e-15	2.850144621754807e-17	True	2.010416704162925e-15	3.452943014923361e-17	True	2.2342601627544957e-15	5.932228232680091e-17	True	1.6118126675335317e-15	1.3005710282864945e-16	True	5.596762688732981e-16	1.2491684344830485e-16	True	5.554060029637189e-16	4.277782753828666e-16	False	2.3560333042367944e-15	1.3324617044619636e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_8.0.txt	55983.9	1.5141587151851178e-15	5.657115827666302e-17	True	1.2717365669220127e-15	3.1019548471436843e-17	True	1.89539326037158e-15	3.6613719195531957e-17	True	2.0949171529282354e-15	6.886245359496958e-17	True	1.4474468389537256e-15	1.170621003187714e-16	True	4.860818054939378e-16	1.3989295095714126e-16	True	5.284272383676836e-16	4.609061805726674e-16	False	2.2528038537150118e-15	1.2435486579148503e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_13.93.txt	55989.83	9.414895212681668e-16	2.1652051866489021e-16	True	1.1376481566513192e-15	3.849389281571806e-17	True	1.4038446375816218e-15	8.018699035515819e-17	True	1.4987146732603558e-15	9.207728120662714e-17	True	6.882347369735817e-16	2.0503134404352216e-16	True	2.0599707352962705e-16	5.215523849785952e-16	False	3.8835693987958844e-16	6.26566317043464e-16	False	1.2961373552970932e-15	2.0598850864375786e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012ap/2012ap_24.8.txt	56000.7	4.1621293291895404e-16	3.819392429664615e-17	True	7.066645125425968e-16	1.631632484520001e-17	True	7.550053031868654e-16	2.3050723779212054e-17	True	7.338924360326994e-16	3.138811013835945e-17	True	1.0292139865531375e-16	1.070729165302127e-15	False	4.1706737278151994e-17	8.471673972479815e-16	False	2.1549227253161e-16	7.980323180518114e-16	False	3.024197158259272e-16	9.93327196392819e-16	False
