spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/2013df_2013-06-16_00-00-00_HET_HET-LRS_TS3.flm	56459.5	6.826355133658817e-15	1.5488090532732203e-16	True	2.1136220540310964e-15	4.768820543610556e-17	True	3.985147897107423e-15	1.332150765275741e-16	True	7.790797385483982e-15	3.2824104875445346e-16	True	5.06478567928592e-15	1.65652325452065e-16	True	6.625208089001548e-15	2.455952395666606e-16	True	7.097138892108936e-15	1.9580014448271136e-16	True	4.011709071017878e-15	1.6568191032654016e-16	True	5.030631962889094e-15	4.913069974262397e-16	True	3.449163877033382e-15	1.3187507896599207e-16	True	5.010210924130723e-15	1.8850802268002387e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/SN2013df_2013-06-22_08-22-04_ANU-2.3m_WiFeS_PESSTO_0.dat	56465.35	7.340745166481657e-15	1.315478708334409e-16	True	2.7001509883893138e-15	5.720203125561042e-17	True	5.3465906251018615e-15	1.8172848445556814e-16	True	5.8298465548121096e-15	5.625695144551139e-16	True	6.814922363191634e-15	1.1589975274871482e-16	True	7.4737123334109e-15	2.945583886880757e-16	True	4.8143784307493195e-15	2.1719518332022973e-16	True	2.64110379770798e-15	1.4628440921799883e-16	True	3.816393214635626e-15	1.1438048364611022e-15	True	2.1796559888070628e-15	1.2475728849583094e-16	True	6.7469906864882495e-15	2.5495245332425737e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/2013df_2013-06-23_00-00-00_HET_HET-LRS_TS3.flm	56466.5	7.6496238150894e-15	3.12123101063639e-16	True	2.891366540143818e-15	6.349041824590618e-17	True	5.574127630653298e-15	1.3815276448234559e-16	True	5.677058695507157e-15	3.3682942786763437e-16	True	6.942023436694519e-15	1.7181613892145394e-16	True	7.619413070584723e-15	2.8011060787057374e-16	True	4.5315165508339835e-15	1.9774844644448322e-16	True	2.5618379751508525e-15	1.3955709382275193e-16	True	3.634966446152256e-15	1.7239444536258334e-15	True	2.1058292738385927e-15	1.1733846930563475e-16	True	7.100302388581548e-15	2.5743979727383997e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/2013df_2013-06-27_00-00-00_HET_HET-LRS_TS3.flm	56470.5	7.698508274050548e-15	4.135997718084367e-16	True	3.2616807874063007e-15	7.709725150742977e-17	True	6.096645118313982e-15	2.702340267828715e-16	True	4.977767885485203e-15	4.662722782485678e-16	True	7.426117318181002e-15	1.8800325369253481e-16	True	7.48262900657166e-15	4.475856503486826e-16	True	3.639532376154687e-15	3.0053911855990243e-16	True	1.9339972224808184e-15	2.11696652630994e-16	True	2.667697907775071e-15	4.34707363328945e-15	True	1.7827763303096642e-15	1.646122027369447e-16	True	6.979793802357533e-15	3.456679581594222e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/2013df_2013-07-01_00-00-00_HET_HET-LRS_TS3.flm	56474.5	5.029230964723401e-15	5.151080256170378e-16	True	2.952435583571545e-15	8.838615842060786e-17	True	5.575134332023677e-15	2.363972285121162e-16	True	3.0534673426222947e-15	5.706716370414294e-16	True	6.1984382683329556e-15	2.157327052602668e-16	True	5.0357873562756475e-15	2.1627736268309135e-16	True	2.5473651525545378e-15	1.3486331148755982e-16	True	1.653532108920256e-15	1.0249558376950605e-16	True	2.373483658261884e-15	1.5808023000768271e-15	True	1.4293614794748606e-15	8.895743929151919e-17	True	5.8339671811821855e-15	2.2273746591284165e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/2013df_2013-07-08_00-00-00_HET_HET-LRS_TS3.flm	56481.5	1.9861153314181586e-15	1.8699638172759384e-16	True	2.0382862345956813e-15	7.650416252503158e-17	True	3.3730578981386105e-15	3.030206793113887e-16	True	1.2072309538530808e-15	4.824763857435066e-16	True	3.0837981484418787e-15	2.7502224444308005e-16	True	2.118286359860612e-15	1.4054088133384186e-16	True	1.1161160372069889e-15	9.720550101155204e-17	True	1.1567384780600155e-15	9.13619043044112e-17	True	1.4272344295727177e-15	8.6732358848847595e-16	True	9.848361664597543e-16	8.225241046397102e-17	True	3.1213648067605473e-15	1.6855676049128824e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/SN2013df_2013-07-11_00-00-00_Keck2_DEIMOS_None.ascii	56484.5	1.5723553097478255e-15	7.93545594894141e-16	True	1.877826435840064e-15	1.5643348455978906e-16	True	2.5859182068994046e-15	6.68485046900982e-16	True	7.513012767187645e-16	2.923986170942454e-15	True	2.6559153136971686e-15	7.503062544491482e-16	True	1.6813063831192763e-15	1.480371756624935e-16	True	9.013774987873002e-16	1.0468377214569293e-16	True	8.893769821427506e-16	1.0172537319980884e-16	True	1.2151082870884204e-15	1.919227698243504e-15	True	8.202866880560338e-16	7.944439267168326e-17	True	2.5882656538323763e-15	1.6927340226395466e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/SN_2013df_2013-07-15_06-31-40_Lick-3m_KAST_UCB-SNDB.flm	56488.27	1.3985998534654639e-15	9.585759196258738e-17	True	1.6485699577085378e-15	1.5314358225667724e-16	True	2.2013926524328064e-15	4.042561419365974e-16	True	5.615679761013381e-16	3.682104207846551e-15	True	2.28866581169193e-15	4.2352187789894977e-16	True	1.501682440110981e-15	1.8038745361336675e-16	True	8.142307761096336e-16	1.2845546174851463e-16	True	9.598578616472543e-16	1.0230289995920055e-16	True	1.122933099143437e-15	2.59920273649114e-15	True	8.946950072933137e-16	8.53426304383632e-17	True	2.222420834036744e-15	1.531210657280734e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/SN_2013df_2013-08-02_05-42-43_Keck2_DEIMOS_UCB-SNDB.flm	56506.24	1.159199479798233e-15	1.229819811152743e-16	True	1.0825908351355562e-15	2.7886850727813026e-17	True	1.6029811148657438e-15	4.378443744392471e-17	True	4.49995821858039e-16	6.6875768059622094e-15	False	1.437448870610808e-15	6.703273535324039e-17	True	1.0579834011564376e-15	4.878196650030218e-16	True	5.229510526269454e-16	3.632919650728572e-16	True	5.578548420008871e-16	2.8108154845433527e-16	True	6.625451789572907e-16	6.037170454768495e-15	True	7.435343879999569e-16	1.8868638868909286e-16	True	1.444914068080168e-15	3.08024478646491e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013df/SN_2013df_2013-08-04_04-17-45_Lick-3m_KAST_UCB-SNDB.flm	56508.18	1.127580117258835e-15	1.1949018883789238e-16	True	1.0529977709858016e-15	2.7365136146120733e-17	True	1.5502508833277184e-15	4.1205676254593676e-17	True	3.7360502231417576e-16	7.37372789496302e-15	False	1.3923419001306418e-15	6.408738092855596e-17	True	1.056980006099382e-15	5.699742971213809e-16	True	5.287400930176005e-16	4.3087165265771586e-16	True	5.81489326503981e-16	3.3192094787934773e-16	True	6.625316920131256e-16	6.452108023946358e-15	True	6.918079188722429e-16	2.1630053131488212e-16	True	1.4121357086534686e-15	3.506854958097211e-16	True
