spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/SN2006aj_2006-02-22_02-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm	53788.11	1.0219668815854295e-15	1.4738248653879592e-17	True	1.2028421829593025e-15	7.09860282002907e-17	True	6.430202892530752e-16	1.9786970240464988e-17	True	2.3871028034474034e-16	1.9190471982381446e-17	False	3.6727074564242437e-16	5.093605947748023e-18	True	1.0029048501354242e-15	6.260102274192459e-18	True	1.4094269576508683e-15	1.1609789797695433e-17	True	5.16222375644e-16	2.4489960769948614e-14	False	8.738594473056644e-16	1.9302882375720775e-17	True	4.17169669104636e-16	4.790196441210505e-17	True	5.502497987379923e-16	3.52019141388574e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/SN2006aj_2006-02-22_03-48-58_Lick-3m_KAST_None_0.cal_galsub	53788.16	1.0288778791916464e-15	1.4365426969810706e-17	True	1.2035368971974125e-15	6.943831491827345e-17	True	6.471657339298016e-16	1.9392004484572104e-17	True	2.4009395568597693e-16	1.872664701190222e-17	False	3.715726479876458e-16	4.954847305671172e-18	True	1.0102532310313431e-15	6.29506137622307e-18	True	1.4197755166213214e-15	1.1682362721200235e-17	True	4.767943464803321e-16	2.4496423075236135e-14	False	8.798744736800242e-16	1.9410544786588545e-17	True	4.201966585614265e-16	4.816345158488399e-17	True	5.542318006854452e-16	3.540869298656116e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/2006aj_2006-02-22_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat	53788.5	1.0765551250474294e-15	1.3133425755574753e-17	True	1.2076664607161102e-15	6.003136878041456e-17	True	6.756302944914289e-16	1.693493472790086e-17	True	2.496815751308324e-16	1.56460187292373e-17	False	4.0121684095446324e-16	4.8857340900357956e-18	True	1.0589311850185453e-15	6.732146545352384e-18	True	1.4895660238694408e-15	1.2167219381160108e-17	True	2.7629947873466644e-16	2.452184303211926e-14	False	9.216063726654151e-16	2.0118244967416775e-17	True	4.4041132576754475e-16	8.358172955127631e-17	True	5.814631727834978e-16	3.837845781139179e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/SN2006aj_2006-02-23_02-24-00_MMT_MMT-Blue_CfA-Stripped.flm	53789.1	1.1612625529106759e-15	1.3802268983516655e-17	True	1.2110861523361236e-15	4.73257749473381e-17	True	7.263043289540158e-16	1.3411411923924887e-17	True	2.673831767484609e-16	1.0613418014163606e-17	True	4.541625311636524e-16	5.971915011260639e-18	True	1.1390318467237383e-15	1.5454918022177632e-17	True	1.5861285753559209e-15	2.174188038475059e-17	True	1.0350432230706499e-16	2.4533360627917842e-14	False	9.96466784176806e-16	2.1478737397321007e-17	True	4.3443316049436716e-16	2.4568516425286165e-15	True	6.359999629882008e-16	1.2043581095499208e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/2006aj_2006-02-23_00-00-00_MMT_MMT-Blue_SUSPECT.dat	53789.5	1.2158203225008757e-15	1.436398533954257e-17	True	1.2093139203084109e-15	4.14295233401525e-17	True	7.597002573242533e-16	1.151377777824239e-17	True	2.7976128751900602e-16	7.681426248344148e-18	True	4.889329795562391e-16	6.268941875272703e-18	True	1.1884713351369813e-15	2.602021509489868e-17	True	1.6062019084203676e-15	4.6741994140792424e-17	True	5.320669776394446e-17	2.453480560312507e-14	False	9.869373004882729e-16	4.746915771286774e-17	True	4.262812301203403e-16	2.3170598531624695e-16	True	6.772591678707443e-16	2.0394777923650637e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/2006aj_2006-02-24_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat	53790.5	1.3312714377130926e-15	1.4310482866485808e-17	True	1.1839547381197238e-15	4.3978586676828974e-17	True	8.381938551334895e-16	8.344752480604987e-18	True	3.1272571242575275e-16	3.578725872035585e-18	True	5.689323340982149e-16	5.7928267031008396e-18	True	1.298847550242635e-15	4.8057909513316115e-17	True	1.569481180031313e-15	9.248963196886142e-17	True	9.796667193028671e-18	2.4535322414096694e-14	False	8.654728249297526e-16	2.488317963919318e-16	True	5.81141275870305e-16	6.198515991644288e-15	True	7.822774995268881e-16	3.64279107240897e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/2006aj_2006-02-25_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat	53791.5	1.398529985363378e-15	1.4699974782825997e-17	True	1.1267627401740047e-15	6.500362269051204e-17	True	9.040697599820122e-16	7.503096031736289e-18	True	3.43082854973055e-16	4.0075348774343864e-18	True	6.314497231837306e-16	5.9628178257625154e-18	True	1.3768999948943176e-15	5.885890020744933e-17	True	1.4864887319844601e-15	8.278113134685e-17	True	1.749730318883894e-18	2.4535340767010757e-14	False	8.409978997558382e-16	8.163939742386335e-17	True	4.150517930049665e-16	3.777495036800759e-16	True	8.710348134848387e-16	4.354175579889488e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/SN2006aj_2006-02-26_02-24-00_MMT_MMT-Blue_CfA-Stripped.flm	53792.1	1.4130849840722358e-15	1.560219709452681e-17	True	1.0808831041076794e-15	7.582076530641991e-17	True	9.353226504624394e-16	7.783200824081403e-18	True	3.566818090710898e-16	4.541548548399873e-18	True	6.589115092161817e-16	6.379223003078234e-18	True	1.4005490517971894e-15	6.497426775711932e-17	True	1.4442742212375695e-15	9.458886224832592e-17	True	6.1566680675004125e-19	2.453534131271963e-14	False	8.662696917553651e-16	2.228484283332192e-16	True	4.782537905975245e-16	5.205181730755047e-15	True	9.065579780271502e-16	4.839444239330105e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/2006aj_2006-02-26_00-00-00_MMT_MMT-Blue_SUSPECT.dat	53792.5	1.4133896889043092e-15	1.627246556187637e-17	True	1.0467863407754718e-15	8.09214882239404e-17	True	9.522043327837834e-16	8.222716248695998e-18	True	3.6406595710757937e-16	4.509442691189211e-18	True	6.735914192898025e-16	6.563250516081676e-18	True	1.4064080152363846e-15	6.894598283998266e-17	True	1.4186922409952685e-15	1.0243293459770025e-16	True	3.0570243959554395e-19	2.4535341371608705e-14	False	8.895695415106957e-16	2.7829843527582205e-16	True	5.150254026852016e-16	6.44288872045089e-15	True	9.227372226587955e-16	5.1786535004621444e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2006aj/2006aj_2006-02-27_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat	53793.5	1.3854701706030863e-15	1.927331108253618e-17	True	9.537050237759012e-16	8.481478162025334e-17	True	9.795853231583023e-16	1.0370367029323792e-17	True	3.7813223171860575e-16	4.5207461952860354e-18	True	6.993593461847724e-16	7.76028833077867e-18	True	1.389581597254335e-15	7.693451658716709e-17	True	1.3400179148788704e-15	1.0305982931186475e-16	True	5.252706509231032e-20	2.4535341390505306e-14	False	9.176888923284053e-16	1.3257934038893968e-16	True	5.0067543995114655e-16	5.234090752966026e-16	True	9.410616782286776e-16	5.87737874046957e-17	True
