spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_u'_fitflux	sdss_u'_fitfluxerr	sdss_u'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/2008fq_2008-09-17_00-00-00_Magellan-Clay_LDSS-3_CSP.txt	54726.0	1.1250065677269543e-14	1.4689916119067276e-16	True	8.100900364638845e-15	1.1144232988566952e-16	True	1.0025417814319319e-14	1.3252886510623298e-16	True	2.8698753408750724e-15	2.873322253038933e-17	True	5.424319513166378e-15	6.782000430852237e-17	True	1.149825306725774e-14	3.0768931957455745e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/2008fq_2008-09-22_00-00-00_LCO-duPont_WFCCD_CSP.txt	54731.0	1.0419743573821433e-14	1.0728844989847918e-16	True	8.620534412483686e-15	1.5154727263441296e-16	True	9.612993475416701e-15	9.911519601835914e-17	True	3.473746849085308e-15	6.125851974560164e-17	True	6.110605205578634e-15	9.695061865548306e-17	True	9.189716186881393e-15	1.969486494096596e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/2008fq_2008-09-29_00-00-00_LCO-duPont_WFCCD_CSP.txt	54738.0	8.519211130809395e-15	9.539190245004546e-17	True	7.84004998759071e-15	1.9840435053429274e-16	True	8.29201287263793e-15	9.543693135666531e-17	True	3.6076294509415314e-15	8.487980545171929e-17	True	5.926766075852064e-15	1.2375114093559037e-16	True	5.986788479510255e-15	1.4005595453457447e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/SN2008fq_2008-09-30_00-00-00_Lick-3m_KAST_None.ascii	54739.0	8.195542462779388e-15	8.50630530347627e-17	True	7.617044821415913e-15	1.1806054740931365e-16	True	8.032547195832205e-15	8.812489014345653e-17	True	3.564992419766592e-15	5.363839142569973e-17	True	5.809779882490842e-15	8.441594455303723e-17	True	5.559040977793669e-15	1.3012191651745112e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/SN2008fq_2008-10-07_00-00-00_Lick-3m_KAST_None.ascii	54746.0	5.784863909511448e-15	6.257580406201993e-17	True	5.7563020878690466e-15	1.2185453246326504e-16	True	6.040015858466518e-15	6.600974334945729e-17	True	2.855945133476396e-15	5.466754336490463e-17	True	4.649592632911471e-15	8.126090275284536e-17	True	3.0097085691966777e-15	7.665180275892141e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/2008fq_2008-10-14_00-00-00_ESO-NTT_EFOSC2-NTT_CSP.txt	54753.0	3.83556957315215e-15	5.1501549853023285e-17	True	4.401891750376289e-15	7.827840615056702e-17	True	4.407958454528895e-15	5.578654979561659e-17	True	2.314415317614163e-15	4.027346156268326e-17	True	3.8304199623322464e-15	6.51534399119942e-17	True	1.483500143370027e-15	5.1578108028400605e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/2008fq_2008-10-14_00-00-00_ESO-NTT_EFOSC2-NTT_CSP_0.txt	54753.01	3.833509429051491e-15	5.1470222215432934e-17	True	4.400564988884372e-15	7.813351132176679e-17	True	4.406094555659122e-15	5.576001184428148e-17	True	2.3138467186523267e-15	4.021729579545039e-17	True	3.8295877532518105e-15	6.508004111395161e-17	True	1.4820925967603052e-15	5.153953979845353e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/SN2008fq_2008-10-27_00-00-00_Keck1_LRIS_None.ascii	54766.0	2.3807538220451187e-15	4.1204328572900505e-17	True	3.3666201705448203e-15	6.174372599620244e-17	True	2.980788624107704e-15	4.9437589654473763e-17	True	1.9709525184531417e-15	3.602324772236745e-17	True	3.3056106799533736e-15	6.010223711000496e-17	True	5.896368959175064e-16	3.7176171623291236e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/SN2008fq_2008-11-07_00-00-00_Lick-3m_KAST_None.ascii	54777.0	1.767299202017267e-15	3.3027327261401116e-17	True	2.9305779884970704e-15	5.457432000914496e-17	True	2.431646782993312e-15	3.795685909519439e-17	True	1.8268165121271995e-15	3.3454517474942684e-17	True	3.0949194945246584e-15	5.605763649398397e-17	True	3.1584527943707444e-16	4.308335753544567e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008fq/SN_2008fq_2008-11-20_03-15-50_Lick-3m_KAST_UCB-SNDB_0.flm	54790.14	1.0693446065052325e-15	2.9756110375886064e-17	True	2.124133577158063e-15	4.088678940940073e-17	True	1.6360690651673824e-15	2.724775805154885e-17	True	1.4567162058878904e-15	2.7272653314368403e-17	True	2.4875444663603545e-15	4.633231393879793e-17	True	1.883705544933082e-16	2.361509708861257e-17	True
