spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/SN2011ht_111101.dat	55866.0	1.4875289797143492e-14	6.623655152529697e-16	False	2.5929350433867183e-15	2.189927171074328e-16	False	4.98418981204703e-15	4.529838603724688e-16	False	6.7317893195712145e-15	2.0165875348947049e-16	True	1.3822934015684874e-14	4.362641572858134e-16	True	2.223346752189479e-14	7.189785386376252e-16	True	3.24456813847702e-14	1.122599766468263e-15	True	2.7791830498179602e-14	9.236707093728338e-16	True	2.9555369192895616e-14	1.00106796513181e-15	True	7.130543747216787e-15	2.3854691803089734e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/sn2011ht_02_Nov_2011_smo5pix_heliocorr.dat	55867.0	1.4972748472343586e-14	5.970179746912454e-16	True	2.6507912906517924e-15	1.9316735284699634e-16	True	5.0956035777750805e-15	4.0593230602502486e-16	True	6.888516393983362e-15	1.6555317283499525e-16	True	1.430822861263718e-14	4.490481487193606e-16	True	2.3154221461984523e-14	7.520821026312025e-16	True	3.4361371535953674e-14	1.171806602613941e-15	True	2.9341161705030105e-14	9.669282182756836e-16	True	3.114537409766201e-14	1.0433165026263089e-15	True	7.35115179821843e-15	2.416634633424696e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/apospec_nov11.txt	55876.0	1.5650441745019507e-14	3.8729339343439185e-16	True	2.9196926721298067e-15	1.5000078720977983e-16	True	5.665331299511951e-15	3.115764131583319e-16	True	7.603238455374548e-15	3.772206320206151e-16	True	1.7125210565225578e-14	4.443905420293473e-16	True	2.776608955066462e-14	7.514421646710855e-16	True	4.4629766911366977e-14	1.2035013644358145e-15	True	3.753265603239997e-14	1.0010875982207634e-15	True	3.943906216874442e-14	1.0642560544403491e-15	True	8.801263415751007e-15	2.364511555524398e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/sn2011ht_13_Nov_2011_smo5pix_heliocorr_m10Aoff.dat	55878.0	1.567317718704113e-14	4.0851169597108392e-16	True	2.913803786514156e-15	1.738838670301266e-16	True	5.680912812146255e-15	3.465239655650286e-16	True	7.621055401243517e-15	4.3075841534318695e-16	True	1.7383330211244964e-14	4.2795672995673217e-16	True	2.7997005100363993e-14	7.1527259356729805e-16	True	4.518109840331929e-14	1.1528209365068861e-15	True	3.786318729179124e-14	9.552086520710415e-16	True	3.9834907883316225e-14	1.0193157989785734e-15	True	8.976757250241966e-15	2.316522380324727e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/SN2011ht_111116.dat	55881.0	1.55899090907993e-14	4.492677417253854e-16	True	2.884792326133701e-15	2.072389702551815e-16	True	5.650979204286796e-15	4.014913534910706e-16	True	7.581714556547866e-15	4.949961412405838e-16	True	1.7588011243234054e-14	4.0674602798220945e-16	True	2.798214185192303e-14	6.548334976921702e-16	True	4.4973503561445234e-14	1.0701119338630278e-15	True	3.7507331747213944e-14	8.763949032909529e-16	True	3.951194418426669e-14	9.412604067005e-16	True	9.146361789340359e-15	2.272219941264961e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/2011ht_2011-11-22_15-29-30_APO-3.5m_DIS_None.txt	55887.65	1.5014993855633693e-14	4.787778140648641e-16	True	2.7895767695571233e-15	2.244193557530787e-16	True	5.439611606452507e-15	4.3559208462145357e-16	True	7.30460363437589e-15	5.576250360941056e-16	True	1.7347840912746324e-14	4.379775210284162e-16	True	2.6882721512476457e-14	7.092621448230862e-16	True	4.054294655900394e-14	1.102314684446501e-15	True	3.416645321427683e-14	9.11287911071697e-16	True	3.558419008749665e-14	9.619637681687557e-16	True	9.155596620993076e-15	2.370596546844537e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/SN2011ht_111221.dat	55916.0	9.819986297827798e-15	3.846563662728894e-16	True	2.1763924107506554e-15	2.4248781423558187e-16	True	3.979994959218852e-15	4.556111024659709e-16	True	5.093219612355777e-15	5.358128680775593e-16	True	1.090317530813575e-14	3.464164447532298e-16	True	1.3479586838026128e-14	5.312523281852869e-16	True	5.090821304432131e-15	5.21733606510702e-16	True	7.124851351409115e-15	5.032937849976686e-16	True	5.399764431298777e-15	4.990835575702972e-16	True	6.536094643374861e-15	2.027915989807954e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/2011ht_2012-01-03_16-55-01_APO-3.5m_DIS_None.txt	55929.7	6.3260663371845654e-15	2.2459406567202363e-16	True	1.7616877853693692e-15	2.1360596226383518e-16	True	3.158083566062016e-15	3.8127835158005334e-16	True	3.996696027685244e-15	4.3832763409026795e-16	True	7.698334095742694e-15	5.889700917448034e-16	True	5.543839897785253e-15	1.0786527336808047e-15	True	1.2302992502648561e-15	1.5055584444242684e-15	True	2.137849900664606e-15	1.2169634074157624e-15	True	1.0624725105159683e-15	1.2487477671181312e-15	True	5.046660677587117e-15	2.7828355647657176e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/2011ht_2012-01-23_09-55-03_MMT_Hectospec_None.txt	55949.41	3.103590105108825e-15	2.480867465130732e-16	True	1.476647368892211e-15	2.211285054342893e-16	True	2.371341932477535e-15	3.794891881275079e-16	True	2.6176052832415273e-15	3.920587031173132e-16	True	3.3494148697427927e-15	1.9424758073883938e-16	True	1.1358478583561992e-15	2.1278696032330595e-16	True	-2.152012680849809e-16	4.867745349251863e-15	False	4.3043472020038893e-16	2.463334774238397e-16	True	1.472959788556709e-16	2.564354743387085e-16	True	3.2854443328397107e-15	1.9426204710317753e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/2011ht_2012-02-13_06-34-21_MMT_Hectospec_None_0.txt	55970.27	1.1975479737908056e-16	1.7540871396382248e-16	True	1.6605331721949896e-16	9.112783674715154e-17	True	1.9870776546606424e-16	1.621108942212613e-16	True	2.0026577823818334e-16	1.380384754559318e-16	True	6.213614123272359e-16	3.1741070396727753e-15	False	-1.0821377108641458e-16	5.936383065722813e-15	False	-6.868669964166491e-16	1.3918603576004132e-14	False	-4.817553357035908e-17	7.5168199070347e-15	False	-1.6356661098077842e-16	7.927710207641405e-15	False	1.9109857886973665e-15	1.2882165904414437e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/2011ht_2012-02-29_19-23-09_APO-3.5m_DIS_None.txt	55986.81	-6.07631604578555e-17	1.1395962805931604e-15	False	3.663090340824875e-17	1.5538464754533506e-17	True	4.343403540125211e-17	1.732091621078861e-17	True	3.5576782756052956e-17	1.7209713630914065e-17	True	-3.5006891271449925e-16	5.50215392741928e-15	False	-4.0530915337982473e-16	9.672962827412978e-15	False	-7.362175566848788e-16	1.890080749543372e-14	False	-1.7532801726904137e-16	1.2574278152171704e-14	False	-2.282661167041869e-16	1.3310521294067217e-14	False	1.2088858229551057e-15	2.28567160579798e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011ht/2011ht_2012-03-02_14-58-02_APO-3.5m_DIS_None.txt	55988.62	-7.389085935441887e-17	1.3220005115059815e-15	False	3.4817920735238655e-17	1.505725644470098e-17	True	4.140408776331541e-17	1.694085895229097e-17	True	3.4239177475069083e-17	1.691352083456779e-17	True	-4.1651259444978925e-16	5.720020208829555e-15	False	-4.1876292530144016e-16	9.990701899481862e-15	False	-7.325736440428137e-16	1.9331665517827586e-14	False	-1.818105625037748e-16	1.3020873848552648e-14	False	-2.3016402690778505e-16	1.378826381514167e-14	False	1.1475525276228763e-15	2.3865337279650685e-15	False
